Gene stable ID
ENSVPAG00000000048
ENSVPAG00000006432
ENSVPAG00000006432
ENSVPAG00000006432
ENSVPAG00000006432
ENSVPAG00000003689
ENSVPAG00000000831
ENSVPAG00000015423
ENSVPAG00000001968
ENSVPAG00000001968
ENSVPAG00000002660
ENSVPAG00000002660
ENSVPAG00000001308
ENSVPAG00000005640
ENSVPAG00000001562
ENSVPAG00000006160
ENSVPAG00000006160
ENSVPAG00000009008
ENSVPAG00000006568
ENSVPAG00000006568
ENSVPAG00000002073
ENSVPAG00000002090
ENSVPAG00000012383
ENSVPAG00000012383
ENSVPAG00000012383
ENSVPAG00000012383
ENSVPAG00000012383
ENSVPAG00000012383
ENSVPAG00000008201
ENSVPAG00000002128
ENSVPAG00000002128
ENSVPAG00000002128
ENSVPAG00000007744
ENSVPAG00000007744
ENSVPAG00000007744
ENSVPAG00000012292
ENSVPAG00000004556
ENSVPAG00000005598
ENSVPAG00000002912
ENSVPAG00000005465
ENSVPAG00000005465
ENSVPAG00000007912
ENSVPAG00000007912
ENSVPAG00000007912
ENSVPAG00000009944
ENSVPAG00000006812
ENSVPAG00000009811
ENSVPAG00000009811
ENSVPAG00000009811
ENSVPAG00000001499
ENSVPAG00000001499
ENSVPAG00000010953
ENSVPAG00000010953
ENSVPAG00000003252
ENSVPAG00000010212
ENSVPAG00000009513
ENSVPAG00000009513
ENSVPAG00000009513
ENSVPAG00000009513
ENSVPAG00000009789
ENSVPAG00000011761
ENSVPAG00000011761
ENSVPAG00000011761
ENSVPAG00000011761
ENSVPAG00000011761
ENSVPAG00000009520
ENSVPAG00000007237
ENSVPAG00000009332
ENSVPAG00000009332
ENSVPAG00000011312
ENSVPAG00000011451
ENSVPAG00000011451
ENSVPAG00000003101
ENSVPAG00000003101
ENSVPAG00000010923
ENSVPAG00000003148
ENSVPAG00000002522
ENSVPAG00000002522
ENSVPAG00000002522
ENSVPAG00000002522
ENSVPAG00000012047
ENSVPAG00000010370
